Empresa,Ticker,Precio (€),Ingresos (M€),Margen Bruto %,Margen Neto %,EBITDA (M€),Market Cap (M€),Deuda/EBITDA,PER,ROE %,Cash (M€)
Acciona,ANA.MC,256.2,21490.0,69.63,3.74,1900.0,13964.2,7.11,17.39,17.83,5809.0
Acciona Energía,ANE.MC,23.16,4105.0,59.2,15.96,1481.0,7511.33,3.46,11.58,11.14,465.0
Acerinox,ACX.MC,14.52,5784.95,33.82,-0.69,340.74,3620.25,6.4,0.0,-2.32,976.53
ACS,ACS.MC,137.2,49857.18,31.3,1.91,2110.59,35742.07,7.32,37.38,23.49,13214.22
AENA,AENA.MC,23.62,6459.99,80.47,33.51,3691.19,35430.0,2.16,16.4,24.4,3387.41
Amadeus,AMS.MC,51.78,6517.0,43.95,20.5,2447.5,22346.76,1.32,17.2,26.94,986.8
ArcelorMittal,MTS.MC,52.22,62011.0,7.42,4.71,4393.0,39745.99,3.11,16.02,5.43,4359.0
Banco Sabadell,SAB.MC,3.32,4250.53,100.0,25.99,0.0,16305.87,0.0,14.43,0.0,16122.6
Bankinter,BKT.MC,14.03,2765.48,100.0,40.16,0.0,12604.21,0.0,11.79,17.69,18238.9
BBVA,BBVA.MC,18.93,32611.0,100.0,31.91,0.0,105624.29,0.0,10.4,19.04,160842.01
CaixaBank,CABK.MC,10.81,15457.0,100.0,36.96,0.0,75380.55,0.0,13.35,16.02,47705.0
Cellnex,CLNX.MC,28.17,4140.26,88.9,-8.42,2561.04,18879.91,9.05,0.0,-2.39,2865.0
Enagás,ENG.MC,16.52,975.4,93.88,33.92,452.22,4295.36,5.87,13.11,14.8,573.3
Endesa,ELE.MC,36.19,20956.0,41.5,11.17,5239.0,37252.49,2.21,16.08,24.46,94.0
Ferrovial,FER.MC,59.9,9627.0,87.44,9.02,1457.0,42956.37,7.37,49.5,14.32,4242.0
Fluidra,FDR.MC,19.23,2248.2,55.77,7.83,397.56,3651.43,3.08,20.68,10.98,129.4
Grifols,GRF.MC,8.94,7524.0,38.8,5.34,1697.23,6084.34,5.68,15.15,6.17,849.0
IAG,IAG.MC,4.46,33213.0,38.51,10.06,6305.0,19913.94,2.26,6.46,48.54,8290.0
Iberdrola,IBE.MC,19.45,43510.7,53.91,12.62,13939.55,131473.88,4.29,24.32,9.97,4872.0
Inditex,ITX.MC,51.32,39864.0,56.28,15.6,9385.0,159849.84,0.63,25.66,31.05,10960.0
Indra,IDR.MC,50.5,5568.12,24.63,7.83,563.25,8850.28,3.11,20.36,26.55,1001.85
Colonial,COL.MC,5.46,425.03,100.0,81.04,325.57,3336.86,15.74,9.74,5.75,150.39
Logista,LOG.MC,31.7,13643.24,6.7,2.02,405.79,4189.02,0.16,15.77,38.55,1705.0
Mapfre,MAP.MC,4.16,29931.6,26.87,3.9,3757.35,12757.92,0.96,11.25,18.32,1760.3
Meliá,MEL.MC,11.31,2077.58,54.12,8.19,450.91,2490.93,5.42,14.69,17.8,233.09
Merlin,MRL.MC,14.74,567.0,100.0,138.65,427.56,9125.37,11.86,10.53,10.09,1214.95
Naturgy,NTGY.MC,26.74,19076.0,40.17,10.73,5011.25,24771.76,3.39,12.1,22.01,4746.0
Redeia,RED.MC,14.58,1758.36,98.29,27.91,1097.84,7879.15,5.9,16.2,9.79,908.3
Repsol,REP.MC,22.05,49559.0,29.48,4.83,5153.0,24242.8,2.74,10.3,9.49,8170.0
Rovi,ROVI.MC,62.85,743.48,63.43,18.89,195.54,3214.75,0.62,26.63,22.33,98.6
Sacyr,SCYR.MC,4.74,4720.67,66.52,2.04,1228.25,3790.68,7.35,43.09,11.3,2148.27
Santander,SAN.MC,10.47,47374.0,100.0,26.32,0.0,150713.94,0.0,11.89,12.89,307915.0
Solaria,SLR.MC,24.15,302.95,99.6,45.35,259.72,3203.21,5.88,21.95,20.7,84.17
Telefónica,TEF.MC,3.88,35945.0,45.26,-6.12,7114.0,21858.21,5.89,0.0,-8.72,6942.0
Unicaja,UNI.MC,2.76,1972.75,100.0,31.71,0.0,7088.23,0.0,11.04,9.16,3025.99
